,sentence,sector
22,"In addition, the Royal Institute of Management provides post-graduate diploma and diploma programmes ranging from 1 to 2 years in management and development, finance and business, ICT, and law.",1
23,It recently introduced post graduate degree courses in public administration and management.,1
24,"The Monastic body reports that there are 7,240 monastic novices in 388 monastic schools and 3 nunneries across Bhutan.",1
25,"This enrolment is significantly lower than the one reported for 2006, which was 9287.",1
26,5.1.1	Current Situation,1
27,"The Ministry of Education's Annual Education Statistics 2013 reports a net primary enrollment ratio (PP to VI) of 96 percent, net basic education enrollment ratio (PP-X) of 94 percent and adult literacy of 55 percent.",1
28,"Evidently, with high priority accorded to the education sector, Bhutan is well on track to achieve the MDGs. In terms of the MDGs, the targets for gross primary enrolment ratios, proportion of pupils starting grade 1 who reach grade 5, and the ratio of girls to boys in primary schools and secondary schools have already been achieved while the other targets are well on track to be achieved.",1
29,"According to BLSS 2012, the general literacy rate has increased from 59.5 percent in 2005 to 63 percent in 2012.",1
30,Literacy is higher in urban areas at 79 percent as compared to 56 percent in rural areas.,1
31,"In terms of gender, literacy is higher among males at 72 percent as compared to 55 percent for females.",1
32,"However, the Gender Parity Index is calculated at 1.02, indicating that on the whole there is no significant gender inequality in the Bhutanese education system.",1
33,"Both boys and girls have equal opportunities in terms of access, quality of learning process, equality of outcomes and external results.",1
34,5.1.2  Key Challenges,1
35,Last mile challenges and disparities at local levels - The Adjusted Net Enrolment Ratio (ANER)29 for primary education is 98.5 percent (2013).,1
36,This indicates that 1.5 percent of primary school going age children are out of school.,1
37,"This 1.5 percent are assumed to be children in remote and hard to reach areas, children of nomadic communities, children with learning disabilities whose special learning needs are yet to be catered for and children of the urban poor.",1
38,"Further, while national statistics indicate good progress in overall enrollment rates, the Bhutan Multiple Indicator Survey 2010 indicates that some disparities in achievements exist between urban and rural areas, Dzongkhags and genders.",1
39,"According to the Survey, the adjusted Net Primary Attendance Ratio (NAR) for 2010 indicates that Punakha, Chukha, Mongar, Lhuentse, Wangdue and Gasa are the six Dzongkhags that have the lowest adjusted NAR, significantly below the national average of 91.9 percent.",1
40,"Similarly, the Gender Parity Index (GPI) reveals that Pemagatshel, Trongsa, Haa, Punakha and Mongar have a variance in their GPI scores by more than 0.03 from 1.0, indicating that some inequity exists in terms of gender participation.",1
41,"In all of these five Dzongkhags, the participation level of girls in primary education significantly exceeds that of boys.",1
42,"However, these ratios change in favor of male children as students move to higher classes mainly due to higher drop-out rates among female students.",1
43,"Addressing the last mile challenge of enrollment, including disparities at local levels and catering to the special needs of children with disabilities will require innovative and cost effective strategies in the delivery of education.",1
44,"Relevance and Quality of Education: In spite of the significant progress made with regard to providing access to education, the quality of education is an issue of growing concern to parents and policy makers.",1
45,"Judging solely by improvements in efficiency indicators such as drop-out rates, repetition rates, completion rates and survival rates, the quality of education has certainly improved over the years, although some of these rates, such as repetition and dropout rates in class IV and VII, are still undesirably high and need further improvement.",1
46,"However, what remains of great concern is that an increasing numbers of our students, including graduates from vocational and tertiary institutions, are inadequately prepared to enter the workforce.",1
47,"On the other hand Bhutan continues to face an acute shortage of skilled and highly specialized manpower such as doctors, engineers, ICT experts and teachers.",1
48,This has resulted in a paradoxical situation of relatively high levels of youth unemployment and a critical skills shortage at the same time.,1
49,"Furthermore, the rapid socio-economic development and transformative changes that have been taking place, both domestically and globally, require higher standards in education at a scale that has never been met or required before.",1
50,"The fact that most of our students are unable to meet the admission criteria of top tier tertiary education institutions abroad, particularly for professional courses, is but one testament of the poor learning outcomes of our education not being commensurate to the requirements of youth today.",1
51,"This calls for building on our strong foundations an education system that is not only free but is of such quality that it provides the knowledge, skills and attitude to allow our people to tap their full potential and succeed.",1
52,Given that today the largest section of our population are youth our window of opportunity is small and therefore improving the quality of education is urgent.,1
53,"Of particular concern in the outcome of education, which is highly relevant to achieving our Plan objective, is weak student performance in the foundational subjects.",1
54,"In all the countries that have succeeded in the economic areas we strive to develop, the competitive advantage of their education system has been a high level of performance in math and science.",1
55,"In our case, most students perform poorly in math and science, and have similar weaknesses even in English despite it being the medium of instruction for most subjects at all levels in school and higher education.",1
56,"According to Royal Education Council's (REC) research study on the quality of education, the overall trend indicates that there is a big gap between the current and the desired state in the quality of outcomes and processes.",1
57,Some of the key deficiencies in the quality of learning outcomes and processes highlighted in the report include:,1
58,The overall level of performance of students is just above passing grades;,1
59,Graduates lack basic analytical and communication skills and the attitudes needed as entry level professions;,1
60,Teaching consists of one way teacher-led chalk-and-talk without being able to get the students to comprehend and demonstrate learning;,1
61,Assessment in the classroom does not close the loop between what is taught and what students learn;,1
62,Low academic and professional standards for entry into teaching profession;,1
63,"Schools lack quality processes for developing teachers' capacity, the autonomy and instructional resources to initiate academic improvement and the essential physical infrastructure to support learning;",1
64,No clear link between the stated national socio-economic goals and the goals of the education system;,1
65,"The supporting systems for schools need a great degree of strengthening in the areas of teacher preparation, curriculum standards and resources and the incentives for quality.",1
66,"The report underscored three critical reasons for the persistence of ineffective classroom practices across schools: namely under-prepared teachers, lack of appropriate curricular resources, and poor instructional leadership and in-service training.",1
67,The study recommended a thoughtfully designed and carefully implemented comprehensive reform effort to bridge the gap between the current set of challenges facing our school system and the high aspirations it holds.,1
68,"Various other studies/reports also suggest that education infrastructure facilities alone are not sufficient to improve education outcomes but adequate, motivated and appropriately qualified teachers play a critical role in ensuring quality education.",1
69,"However, our education system continues to be constrained by an acute shortage of teachers and limited capacities.",1
70,"Teaching, today, is the least preferred profession among graduates, and attracting high performing graduates to join teaching is increasingly a major challenge.",1
71,"Some of the reasons for this include lack of incentives, both financial and non-financial incentives, perceived poor career progression and limitations in the recruitment process.",1
72,"During the Tenth Plan, initiatives to strengthen human resource policy to provide better career progression for teachers were implemented.",1
73,"However, the proposed teacher incentives remains unimplemented due to resource constraints.",1
74,The TVET and tertiary education systems are also faced with a similar set of challenges on the issue of relevance and quality of education.,1
75,"Furthermore, current projections indicate that about 60,000 students would be completing classes 10 and 12 and entering the labour market over the Eleventh Plan.",1
76,"If we are to close the ""education to employment"" gap, it is vital to ensure that the TVET and tertiary education institutes have the intake capacity to provide relevant and quality post-secondary education and training to ensure their employability.",1
77,"According to REC Report 2008, an independent assessment of the TVET system indicates that the content standards of programmes are not reflective of industry standards or requirements;",1
78,students are inadequately trained upon graduation;,1
79,the training institutes are under-resourced and faculty under-qualified;,1
80,"and there is a significant ""education to employment gap"" as students do not necessarily follow into the trade for which they have been trained however inadequately.",1
81,There is a widely shared view on the need for the TVET institutes and colleges of RUB to be consolidated along a single-campus and multi-disciplinary model if we are to ensure relevance and quality in our TVET and tertiary education system.,1
82,"Sustainability: The share of education sector budget to the five year plan outlays has averaged around 11 percent over the last ten five year plans, with allocation increasing from Nu. 9.4 million during the 1st Plan (1961-1966) to Nu. 10.3 billion in the 10th Plan (2008-13), of which Nu. 875 million was for current expenditure and Nu. 9,489 million for capital expenditure in the Tenth Plan.",1
83,The expenditure in the education sector is expected to further increase in coming years particularly with increasing cost of maintenance of past infrastructure investments and additional capital investments to absorb the increasing enrollment pressure at various levels.,1
84,"In addition, with the phasing out of WFP's assistance after 2018, the government will need to take over the school feeding programme.",1
85,The school feeding programme has been one of the important factors contributing to the better enrollment rates.,1
86,5.1.3  Sector Key Result Areas,1
87,The sector key result areas and key performance indicators for TVET and Education sector are as follows:,1
88,5.1.4  Strategies,1
89,"Any strategy to strengthen our education system and institutions to the level required to bring about the transformation in our socio-economic development process must ensure that we take a comprehensive stock of the state of our entire education system (spanning school, TVET, higher education, and continuing education) as an integrated whole rather than disparate parts (including regular assessment and diagnostics of student performance and identify the root causes of the mismatch between educational outcomes and our developmental needs);",1
90,"establish clear quality criteria in terms of the desired outcomes that are responsive to the changing expectations of students and are regularly benchmarked to global standards (such as student outcomes and employment, instructional methods, and organizational dynamism);",1
91,understand the capacity gaps in achieving those criteria;,1
92,"provide a collaborative and highly competent institutional support system that focuses on helping students, teachers and school leaders develop research based innovative strategies of implementation to achieve the desired outcomes and;",1
93,disseminate those evidence-based effective strategies throughout the system.,1
94,This calls for a sustained systemic strategy rather than disparate interventions to address challenges in isolation.,1
95,The planning and implementation of such an education strategy certainly requires a longer-term perspective of more than five years.,1
96,The experience of top performing education systems like in Finland and Singapore suggest a gestation of at least 20 years.,1
97,"Most importantly, the strategy must be supported with adequate and predictable resources and the necessary institutional and policy support systems.",1
98,"Some of the elements of the strategy for improved outcomes of the education sector, relevant to the school, TVET and tertiary education systems, include:",1
99,•	Clarifying goals and raising performance standards for schools through shared national education goals that are aligned with the national socio-economic goals;,1
100,learning standards and quality teaching processes;,1
101,•	Curriculum improvements to deliver educational goals with greater involvement of principals and teachers in curriculum design and communication and training on improved curriculum;,1
102,•	Attracting the best talent into teaching by recruiting the most capable candidates into teaching and preparing them for effective classroom practice;,1
103,•	Giving teachers the skills and tools to raise the quality of classroom instruction through continuous professional development and structured teaching-learning resources;,1
104,"•	Developing Principals to become Instructional Leaders - through leadership training, professional support and instructional improvement processes;",1
105,"•	Enabling the capacity of schools to focus on learning and teaching through policies to promote autonomy, accountability, incentives and improving the quality of instructional tools and infrastructure facilities to support learning;",1
106,"•	Maintain relentless focus on implementation - demonstrate real changes in school, manage change and build institutional capacity to execute reforms;",1
107,"•	Ensuring students grasp basic academic concepts, acquire essentials life skills and are fully equipped for college and professional life;",1
108,•	The possible introduction of a vouchers scheme for meeting the targets for tertiary enrolment that will also encourage private participation in this sector.,1
109,Targeted intervention programmes: Targeted intervention programmes will be developed to address disparities.,1
110,"The focus will be on Dzongkhags with education indicators below the national average and hard to reach communities, children in remote areas, nomadic communities etc.",1
111,"Targeted programmes will include activities like additional infrastructure facilities, improved teacher deployment, special incentive packages and in certain situation where cost of service delivery is very high it could include relocation of students to nearby schools with boarding facilities.",1
112,"Rationalization of schools: In pursuit of improving access, past Plans focused on extensive education infrastructure expansion program resulting in 553 schools and 112 Extended Classrooms (ECRs) for about 180,000 school children.",1
113,"While facilitating access and enhancing enrolment, this strategy has led to other challenges.",1
114,The deployment of teachers continues to be a major issue due to the remote and difficult location of these extremely small schools.,1
115,Due to lack of economies of scale the difficulty of providing appropriate and adequate infrastructure facilities and resources results in multi-grade teaching learning situations which ultimately compromise the overall quality of education.,1
116,"The Eleventh Plan will focus on rationalization of schools with the objective of ensuring quality learning outcomes, with particular focus on children in remote rural schools.",1
117,"The Plan will also ensure sustainability of education service delivery by making efficient and effective use of available resources through the rationalization process keeping in mind the ground realities facing each Dzongkhag, Gewog and school.",1
118,The approach would be to downgrade unsustainable primary schools with enrolment of less than 100 students which do not have scope for future increase in enrolment to extended classrooms (ECRs).,1
119,"Currently, there are approximately 270 primary schools with enrolment of less than 100 children.",1
120,"With rationalization, all the primary schools would be developed to ensure that they are adequately and appropriately staffed and resourced, and the children have access to an appropriate and conducive teaching learning environment.",1
121,"Similarly, the downgraded schools or ECRs would be developed to ensure quality learning for the remaining students, and the additional teachers made available as a result of the rationalization would be redeployed by the Dzongkhag to the schools which face teacher shortage.",1
122,"Professional Development for Teachers: Towards enhancing teacher morale and motivation and improving the quality of the teaching profession, Teacher Human Resource Policies and the In-Service Teacher Education and Training (INSET) Masterplan have been drawn up for implementation.",1
123,"The Ministry of Education in collaboration with Royal Education Council will focus on promoting innovation, creativity and enterprise in education through implementation of research recommendations.",1
124,"Improved service delivery and private participation: To ensure sustainability, school administration and governance system will be strengthened and private participation actively pursued.",1
125,"Tracking school rankings, teacher outcomes and improving public service delivery will enhanced through Performance Management Systems (PMS).",1
126,Private participation and schemes to encourage self-financed students particularly in tertiary education will be developed.,1
127,5.1.5  Key Programmes,1
128,Some of the key programmes for the Eleventh Plan:,1
129,Education,1
130,i)	Construction of new schools based on need to increase space especially at the secondary levels;,1
131,"ii)	Provision of minimum standard facilities, wherever required, to ensure a positive environment for teaching-learning process.",1
132,"These include facilities such as science labs, libraries, games and sports facilities, computers, ICT infrastructure, etc ;",1
133,"iii)	Consolidation of schools through provision of additional facilities such as hostels, kitchen and store, warden/matron quarters, toilet facilities, water supply, dining hall, etc.",1
134,in nearby schools and rationalizing smaller schools;,1
135,iv)	Provision of staff quarters/allowances especially in remote and rural areas to make rural posting attractive and improve quality of education in the remote locations;,1
136,v)	Addressing gender gaps at higher secondary level through provision of gender responsive facilities such as hostels and hostel toilets for girls' toilets and housing for female teachers;,1
137,"vi)	Strengthening curriculum research and development and finding mechanisms to enhance efficiency, accountability and retain specialized skills;",1
138,vii)	Enhance capacity of tertiary education to achieve GER at tertiary education of 35 percent by 2017-18;,1
139,viii)	Enhance quality and relevance of tertiary education programmes to meet the needs of individuals as well as the industry and society at large.,1
140,"i)	Improve quality of TVET/VTI - infrastructure expansion, program diversification and curriculum improvement in close collaboration with the industries and private sector;",1
141,and improving capacity of the instructors.,1
142,Programme details are presented in Eleventh Plan Volume II document.,1
143,Health Sector,2
144,"All Bhutanese avail free health services from primary to tertiary level health care as a right guaranteed by the Constitution of Bhutan under its Principles of State Policy, Article 9, Section 21, which states that: ""the State shall provide free access to basic public health services in both modern and traditional medicines."" Health is also an important component for happiness and wellbeing.",2
145,"The 2010 GNH Survey reports that health domain contributed 14 percent to GNH, the highest contribution among the nine domains.",2
146,"While provision of health care services is the responsibility of the Health Sector, the need to involve other sectors in addressing health issues is equally important.",2
147,"Adoption of the ""GNH Policy Screening Tool""31 which has health as one of the variables for policy screening has facilitated in mainstreaming health.",2
148,"In the Eleventh Plan, the Ministry of Health shall strive towards achieving universal health coverage by focusing on providing improved and equitable access to quality health care services.",2
149,Continued efforts shall be made in achieving goals and targets beyond MDGs. Investments will also be made in working towards fulfilling the global monitoring framework for prevention of non-communicable diseases (NCDs).,2
150,5.2.1  Current Situation,2
151,Considerable progress has been made in developing the capacity of the health system and it has resulted in significant improvements in health outcomes.,2
152,"Bhutan is on track to achieve MDG targets related to child mortality, improving maternal health and halting/reversing spread of TB and malaria.",2
153,The lack of progress on HIV/AIDS remains a concern.,2
154,The number of HIV/AIDS detected cases has increased from 38 in 2000 to 321 in 2013.,2
155,Health coverage is estimated at 90 percent.,2
156,"Currently there are three health facilities for every 10,000 persons.",2
157,"There are 31 hospitals, 14 BHU I, 178 BHU II and 550 outreach clinics providing modern health services.",2
158,There is one,2
159,Indigenous Hospital and 48 Indigenous Unit providing Sowa Rigpa services.,2
160,"The total manpower in the health sector is 4,280, of which 194 are doctors, 736 nurses, 1,543 other category of health workers and 1,807 administrative and support staff.",2
161,"The enactment of the University of Medical Sciences of Bhutan (UMSB) Act and its establishment in 2012, is a major initiative of the Health Sector towards providing in-country professional medical education and, thereby, addressing the critical shortage of health and allied professionals.",2
162,The government health sector expenditure over the last ten years has averaged Nu. 1.2 billion per annum with annual expenditure growth of 12.5 percent.,2
163,The government health expenditure as a percentage of GDP stands at 3.23 percent32.,2
164,The recurrent expenditure to GDP in the Eleventh Plan is projected to be around 0.56 percent.,2
165,The expenditure in the health sector is expected to increase in the coming years with the introduction of new technologies and services and growing incidence of non-communicable diseases for which the associated costs are much greater than for conventional diseases.,2
166,The Ministry of Health has started tracking national spending and resource flow in health through the National Health Accounts and other thematic studies to ensure sustainability of healthcare financing.,2
167,5.2.2  Key Challenges,2
168,Delivering Quality Health Care - The public expectation for quality health care is viewed against the five-star private hospitals.,2
169,"In addition, the easy availability of un-validated information from the net with the ever increasing literate population is forcing the public health system to adapt to the latest medical technologies and medical procedures.",2
170,Such adaptations may not necessarily be cost effective and efficient in service delivery.,2
171,On the other hand there are no standard health services package developed at all levels of service delivery and standard operating procedures for most of the services and procedures needs to be developed.,2
172,"In absence of such standards, it is very difficult or near impossible to measure the quality of health care delivery.",2
173,Health Human Resource: The Bhutanese Health System suffers from acute shortage of all categories of health personnel.,2
174,The training for most categories of health workers and especially for doctors is long and expensive.,2
175,In addition Bhutan does not have training institutes for most categories of health workers.,2
176,"Even in the region, there are few reputed health training institutes so limitation in availability of slots is a challenge.",2
177,Therefore we will continue to face health human resource shortage in the Eleventh Plan even as we face the need to expand health services.,2
178,Consolidation of health infrastructure would therefore be a strategic area of focus.,2
179,"With the increasing rate of urbanization, deployment of health personnel to rural areas will become a new challenge.",2
180,"Workload, remuneration, and many other workplace factors need to be looked beyond Civil Service norms otherwise shortage of health human resource will become a major problem.",2
181,"In comparison to Bhutan's 2 doctors per 10,000 people in 2012, India had 6 doctors per 10,000 people in 2003, Malaysia had 7 doctors per 10,000 people in 2000, Pakistan had 7 doctors per 10,000 people in 2003 and Singapore had 14 doctors per 10,000 people in 200133.",2
182,"Non-Communicable Diseases (NCDs): NCDs are establishing its presence with modern sedentary lifestyles, traditionally high-fat-based dietary habits and consumption of alcohol and tobacco.",2
183,"Consequently, diabetes, hypertension, cancers and traffic injuries are increasingly on the rise.",2
184,"Besides the profound implication on the quality of life of individuals, families and society at large, the cost of treating patients with NCDs is exorbitant.",2
185,"We would need to intensify our efforts on health promotion, multi-sectoral response to NCDs and ensuring health is considered as a critical component in all policies.",2
186,"HIV/AIDS, TB, Malaria and Neglected Tropical Diseases (NTDs) - HIV/AIDS cases have increased from 2 in 1993 to 321 in 2013.",2
187,"The expansion of economic activities and increasing affluence and travel, import of foreign labour and casual attitude of the people towards sex is a major challenge in the battle against HIV/AIDS.",2
188,The TB case detection and treatment is progressing well.,2
189,"However Multi Drug Resistant (MDR) TB, and HIV-TB co-infection is increasing.",2
190,The impact of climate change is already becoming visible with malaria cases being detected in areas that were once free of the disease.,2
191,"Although Bhutan is making all efforts to eliminate malaria, cross border transmission is still an issue.",2
192,"Dengue, chikugunya outbreaks have been reported, isolated cases of Kala-azahar are reported and Japanese Encephalitis is also suspected to have made its entry.",2
193,Maternal and Child Health- Tremendous progress has been made in the field of mother and child health.,2
194,"However, performance on certain indicators such as MMR, compared to other countries in the region and the low allocations relative to health spending is still a cause of concern.",2
195,Nearly two-fifth of deliveries are still attended by medically untrained personnel increasing the risk of maternal and neonatal death.,2
196,Infant death and especially neonatal death are among the highest death occurring within the health facilities.,2
197,There is a need to invest heavily in this area.,2
198,Nutrition - The general nutritional status of the people has been improving over the decade.,2
199,"While malnutrition indicators like underweight prevalence and wasting have improved, stunting prevalence of 33.5 percent still remains as a major public health issue.",2
200,"In addition, anemia prevalence in women and children are quite alarming with 54.8 percent and 80.6 percent respectively.",2
201,"Bhutan has also been experiencing sporadic outbreaks of vitamin deficiencies, particularly Vitamin B1 and B12 since 1998, and occurrences have been recorded almost every year.",2
202,"There is a need to put in coordinated efforts among Health, Agriculture and Education and Economic Sectors to improve the nutritional status.",2
203,Sustainable Healthcare Financing: The constitution mandates the state to provide free health care ensuring the global commitment to universal health coverage is achieved.,2
204,Currently the government budget outlay for health is around 6 percent and total health expenditure as percent of GDP is 3.6 percent.,2
205,Global health experts recommend for a country like Bhutan allocation of around 5 percent of the GDP and about 8 percent of the total government budget on health to ensure that quality health care services are provided.,2
206,The Bhutan Health Trust Fund is one innovative mechanism set up by the government with support of its partners to ensure sustainable supply of essential drugs.,2
207,The endowment fund of the BHTF stands at around USD 24 million.,2
208,There is also a need to promote good governance so that wastage is minimized and cost efficient and effective health services are promoted.,2
209,5.2.4  Strategies,2
210,"Strengthening service delivery: In line with the policy of decentralization, the local government shall take more responsibility for management and delivery of health services at the local level.",2
211,"The centre shall focus more on policy directions, service standard development, quality assurance, selection of appropriate medical technologies and procedures, ensuring un-interrupted medical supplies and health personnel recruitment.",2
212,The Ministry will continue to focus on improving access and delivery of quality health care services by strengthening both institutional and human capacity with emphasis on decentralization.,2
213,The Health Sector will continue to explore areas which can be decentralized to the districts.,2
214,"Capacities to improve efficiency in management, coordination and planning including resource mobilization shall be pursued to strengthen the initiative of decentralized approach.",2
215,"In line with the commitment to work towards achieving Universal Health Coverage (UHC), the package of Health services to be delivered at every level of health facilities shall be standardized and expansion of services will be explored on need basis.",2
216,"Health Prevention and Promotion - There has been global evidences to indicate that investment in health prevention and promotion aspects are more cost effective, than treating diseases, particularly the NCDs, which requires lifelong and expensive treatment.",2
217,"Emphasis will be continued to strengthen preventive and health promotion, through intensifying awareness programmes, enhancing cross-sectoral coordination, and advocating for health in all policies to address public health challenges such as, but not limiting to NCDs, injuries, HIV/AIDS, TB, Malaria, Maternal and Child Health, Nutrition and Neglected tropical Diseases.",2
218,Health human resources development - Development of health human resource in line with the Health HRD Master Plan shall be accelerated.,2
219,Effective planning and efficient deployment of health personnel to improve service delivery will be pursued.,2
220,"The deployment of health personnel to hospitals, BHUs and ORCs will be need-based depending on number of patients attended by these health centres.",2
221,Sustainable Health Financing - There is a global push to go for achieving Universal Health Coverage (UHC).,2
222,"For a developing country like Bhutan, in order to achieve UHC, almost 5 percent of the GDP and 8 percent of the total government budget needs to be allocated to health sector.",2
223,"In addition, measures such as enhancing effectiveness and improving efficiency, and other alternative options to maintain constitutional commitment to provide free health care services and also to achieve UHC will be explored.",2
224,"Standardization of eHealth and interoperability -Recognizing that lack of data within and between systems hinders care and leads to fragmentation of the health information system, it is vital to develop measures for effective and timely transmission of data.",2
225,The development of an integrated health information system shall be centralized to ensure the eHealth standardization and interoperability of the system.,2
226,Interoperability is essential in garnering full potential of ICT and medical devices towards supporting health system development.,2
227,"Needs assessment for eHealth, inclusive of developing national policies, strategies, norms and appropriate governance mechanisms, and long term strategic plans or frameworks for eHealth, shall be conducted.",2
228,Usage of ICT enabled healthcare solutions such as telemedicine shall be enhanced.,2
229,ICT technology shall also be leveraged to replace some of the paper based system to provide better and faster services and save cost.,2
230,"Consolidation of health infrastructure - The production of health human resource has not kept pace with the expansion of health infrastructure and, therefore, there is a huge mismatch between the health human resources and the number of health infrastructure, affecting the quality of health services.",2
231,"Also, some of the existing facilities are underutilized while others over burdened.",2
232,"Hence, rationalization of health infrastructure through use of health facility screening tool and consolidation of health infrastructure will be pursued.",2
233,5.2.5  Key Programmes,2
234,•	Medical Services - Some of the major activities include:,2
235,i.,2
236,Construction of 150 bedded Gelephu Hospital;,2
237,ii.,2
238,Construction of 40 bedded Samtse Hospital;,2
239,iii.,2
240,Construction of 40 bedded Thimphu Hospital;,2
241,iv.,2
242,Construction of 40 bedded Detoxification Centre;,2
243,v.,2
244,Construction of GMP Production Facility;,2
245,vi.,2
246,Construction of Public Health Laboratory;,2
247,vii.,2
248,Construction of Deothang Hospital;,2
249,viii.,2
250,Construction of Tsirang Hospital.,2
251,•	Traditional Medicine Services - The main focus will be on up-scaling the production of indigenous medicines through automation of production processes to cater to both the domestic and international demands of traditional medicines.,2
252,"•	Medicines, Technologies & Logistics -Through the program all health facilities in the country will be well equipped with medical equipments and essential drugs to prevent shortages of such items on real time basis.",2
253,"•	Public Health Services - The programme will focus on preventive, promotive and rehabilitative programs.",2
254,"•	Institutional Strengthening & Monitoring - The priority will be on strengthening human resources - doctors, nurses and technicians and improving the health data/record management by strengthening the Health Information and Management system.",2
255,•	Diagnostic & Curative Services -,2
256,Programme details are presented in Eleventh Plan Volume II document.,2
257,Human Resource Development & Management,3
258,Development and management of human resources is an essential prerequisite for Bhutan's aspiration to be an ICT enabled knowledge based society.,3
259,"The high priority given to human resource development through investments in education, implementation of long and short-term trainings both in-country and ex-country and the various reforms in human resource management, particularly in the civil services, has to a great extent improved human resource situation.",3
260,"However, the quality of human resources particularly in professional and high skilled areas continues to be a constraining factor, both in the public and private sector.",3
261,"As a result, dependency on foreign workers continues to be high.",3
262,The Eleventh Plan focus will be on creating a highly skilled and well qualified talent pool.,3
263,"The main agencies responsible for HRD include the Ministry of Education, the Ministry of Labour and Human Resources, Royal University of Bhutan and the Royal Civil Service Commission.",3
264,5.3.1  Current Situation,3
265,"Due to small and nascent private sector, most job seekers prefer jobs in the civil service for better job security, career advancement and training & educational opportunities.",3
266,"As of December 2012, there were a total of 24,275 civil servants, of which 559 were expatriates and 64 international volunteers.",3
267,"Professional and management position made up 49 percent of the total civil service, followed by supervisory and support positions with 40 percent and operational position 9 percent.",3
268,The executive and specialist position comprised less than 1 percent of the civil service.,3
269,"In terms of educational qualifications, about 66 percent of civil servants have a diploma and below, 22 percent have Bachelors Degree and the rest have a post graduate diploma, Masters or Ph.D degree.",3
270,Lack of qualified human resources in various positions is an issue and only about 47 percent of the civil servants meet the minimum qualification criteria.,3
271,A large percentage of civil servants not meeting the required qualification criteria were in the supervisory & support and operational position categories.,3
272,5.3.2  Key Challenges,3
273,"While the overall civil service size has been on the rise, the percentage of civil servants in various position levels not meeting the minimum qualification criteria remains high.",3
274,This is an issue of great concern particularly if the high numbers are in educational and vocational institutions.,3
275,The current human resource development strategy also lacks synergy between the education system and manpower needs leading to mismatch of aspirations of the job seekers and jobs available.,3
276,"On one hand, we continue to be dependent on expatriates, international volunteers and foreign skilled manpower while on the other hand unemployment, particularly youth unemployment, remains high.",3
277,"Some of the sectors, particularly health, education, construction, ICT and aviation continue to depend on expatriates and volunteers to fill in the gap.",3
278,"Further, retention of the civil servants is becoming a challenge.",3
279,"Increasingly, many teachers, engineers, doctors and technical professionals are leaving the civil service to join international organizations, corporations, and projects offering better remuneration and service benefits.",3
280,"For instance, in the education sector, where there is already an acute shortage of teachers, the teacher turnover is high at about 4 percent annually.",3
281,"In the last 9 months alone, education sector lost 261 teachers34.",3
