,sentence,sector,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9
68,Land administration pro-cesses are based on outdated legislation and regulations.,1,0,0.05974026,0.057569672,0.063893284,0.063893284,0,0.051925586,0.049928448,0.07486631
69,The result is that land markets are distorted and land becomes expensive and often unaffordable.,1,0,0.119480519,0,0,0,0,0.051823068,0,0.14973262
70,Access to skills,1,0,0,0,0,0,0,0.181818182,0.358974359,0
71,"Limited access to quality skills and a mismatch in the supply of and demand for skills persist as severe constraints in the Namibian economy, preventing the country from achieving a higher growth rate.",1,0.14462808,0.031527094,0,0,0.163098424,0.046484462,0.032392894,0.120247569,0.042880052
72,"The sources of this problem are numerable, but include the education system as well as in vocational and other training.",1,0,0,0,0.064263645,0.055820163,0,0.249621143,0,0
73,"Furthermore, labour market regulations are partly responsible for an inflexible labour market.",1,0.144993849,0.198848707,0,0,0,0,0,0,0
74,"Also, it remains challenging for industry to import skills where local skills are unavailable.",1,0,0,0,0,0.065938978,0,0,0,0
75,"Given the importance of skills in the different sectors of the economy, there is a need to focus more attention on the develop-ment of skills to support industry.",1,0,0,0.133355223,0.048420609,0.048420609,0,0.073743861,0.10155636,0
76,R&D and innovation,1,0,0,0,0,0,0,0,0,0
77,R&D and innovation ‰ÛÒ which entail the commercially successful introduction or implementation of a new or improved product or process ‰ÛÒ are at a fairly low ebb in Namibia.,1,0,0.072049689,0,0,0,0.099511498,0,0,0.045637141
78,Innovative products and processes are essential for companies to participate in markets and to sustain competitiveness.,1,0,0,0,0,0,0.146251152,0.057793045,0.172120352,0.138971683
79,"The interaction be-tween key actors ‰ÛÒ the State, research institutions and the private sector ‰ÛÒ in respect of innovation is minimal, while incentives for targeted R&D in respect of introducing new technology and promoting innovation are non-existent.",1,0,0.027799228,0,0,0.035098435,0.045149093,0,0,0
80,Labour,1,0.507478471,0.969387446,0,0,0,0,0,0,0
81,Less than desirable levels of labour flexibility and productivity negatively affect the competitiveness of Namibian businesses.,1,0,0.082019443,0,0,0,0,0,0.080330542,0
82,"One of the most cited issues in this regard is the current labour law, which is inflexible in terms of working hours, impacting on a number of industries with abnormal working hours, such as the hospitality and services industry.",1,0.052497773,0.090688221,0,0.038549584,0.079749555,0.101149425,0.15579908,0.171485626,0.136333124
83,"Laying off workers is very challenging and, con-sequently, companies are reluctant to hire additional permanent staff.",1,0,0,0,0,0,0.069214457,0.051124617,0.048901808,0.065433835
84,"Further-more, the current labour law is generous with respect to leave days such as an-nual leave, sick leave and compassionate leave.",1,0.061050042,0.231730238,0,0,0,0,0.039572053,0.072364816,0
85,"When added to public holidays, this presents a substantial loss of productive time.",1,0,0.058787456,0,0,0,0.305253554,0.20725538,0,0.07367226
86,"Another factor, is that labour productivity in Namibia is low.",1,0,0.228571429,0,0,0,0,0,0,0
87,"In a globalised and competitive world, productivi-ty is essential; hence, more should be done to measure and increase productivity in Namibia under the NDP4.",1,0,0,0,0,0,0,0,0.078272605,0
88,Public service delivery,1,0.127232095,0.210033934,0,0,0.109804084,0,0.784935578,0.769046194,0
89,Public service delivery in Namibia also needs to be efficient and effective.,1,0.07711036,0.109790465,0,0,0.062388684,0,0.413123988,0.455509663,0
90,"De-spite significant progress in establishing a fully functioning bureaucracy, there are major concerns about the delivery capacity of certain State functions.",1,0.057220783,0.108106549,0,0,0.050125313,0,0.145812118,0.104486631,0
91,These impede our ability to provide the range of goods and services required by our citizens.,1,0,0,0,0,0.062388684,0,0.292850703,0.227873203,0
92,"The ability of the public sector to deliver on its mandate efficiently and effectively is a prerequisite for rapid growth, job creation, and poverty reduc-tion.",1,0.060200669,0.072049689,0.043478261,0,0,0,0.032089479,0,0
93,"Moreover, the pace at which we implement developmental programmes is unsatisfactory.",1,0,0,0,0,0,0,0.264220531,0,0
94,"Sadly, public sector weaknesses in respect of delivering services often affect the most vulnerable in our society.",1,0,0,0,0,0.062388684,0,0.236988132,0.227873203,0
95,This weak delivery capacity,1,0.127232095,0.210033934,0,0,0,0,0.109753306,0.10753158,0
96,"stems from a number of factors, but the severe deficit of skills at critical man-agement levels in the State apparatus is the most telling.",1,0,0.103710793,0,0,0,0.057142857,0,0.063754399,0.053221289
97,"We have not succeed-ed in attracting or retaining critical talent to manage the day-to-day operations of the State, and therefore there is a need to continue improving professional-ism, performance management, transparency, and accountability at all levels in the system.",1,0,0.165948124,0,0.037261182,0.037261182,0.046809215,0.198293189,0.129416292,0.043097998
98,"We also do not have a clear sense of where the next generation of bureaucrats will come from, and what specialist skills will be needed for the effi-cient running of the bureaucratic system.",1,0,0,0.041744665,0,0,0,0.103479622,0,0
99,"Therefore, we need to significantly strengthen the managerial and leadership capabilities of our senior civil serv-ants.",1,0,0,0,0,0,0,0,0,0
100,"While Namibia is seen as one of the ‰ÛÏcleanest countries‰Û in Africa, accord-ing to Transparency International, there is a concern that corruption is on the rise.",1,0,0.043697479,0,0.054359503,0,0,0.04456328,0.042232278,0
101,"Finally, the current public tender system is regarded as being non-transparent, too cumbersome, and difficult to access, in particular for MSMEs.",1,0,0,0,0,0,0,0.142440661,0.073260073,0
102,Public and private sector cooperation,1,0,0,0,0,0,0,0,0,0
103,Public and private sector cooperation is a key success factor when it comes to rapid economic growth.,1,0,0,0,0.046462662,0,0,0.073213892,0.069098318,0
104,"For example, business membership organisations that provide a representative opinion of issues that require action by the public sec-tor play an important role in a country‰Ûªs development.",1,0,0.088665932,0.034976224,0,0.080286708,0.049462366,0.163963626,0.051527852,0.087541748
105,"Currently, not all busi-nesses are represented by or organised into formal bodies, particularly micro and small-scale enterprises from the Regions.",1,0,0,0,0,0,0,0,0,0
106,"Thus, they have no avenue by means of which to advocate public sector reform in public‰ÛÒprivate dialogue.",1,0,0,0,0,0,0,0,0,0
107,Even some of the established private sector associations have insufficient capaci-ty to effectively engage Government.,1,0,0,0,0,0,0,0.084188785,0,0
108,"Moreover, the Government is not able to satisfy all the population‰Ûªs needs and expectations.",1,0,0,0,0,0,0,0.046500409,0.092220168,0
109,"It can often be difficult to satisfy the citizens‰Ûª basic needs such as ensuring a sufficient food supply and good health services, providing adequate basic education and a sense of securi-ty, and protecting the environment for future generations.",1,0,0,0,0.039136302,0.105454431,0,0.219077947,0.197656345,0
110,"Government‰Ûªs dimin-ished ability to engage the private sector cooperatively may be related to issues of limited efficiency, but the reasons may also be financial.",1,0,0.037775123,0,0,0,0.219328524,0.033792222,0.036630037,0.253361011
111,"Some of the SOEs run huge budget deficits, and are still not able to deliver the goods and services to citizens at affordable prices.",1,0.062271062,0.076190476,0.045548654,0,0.043573049,0,0.188261166,0.179864622,0
112,Incentive regime,1,0,0,0,0,0,0,0,0,0
113,"Furthermore, there is concern about the general incentive regime in Namibia.",1,0,0,0,0,0,0,0.193691383,0.187305953,0
114,"Many point out that it is not always clear and transparent, particularly for manu-facturers.",1,0,0.157019605,0.238191959,0,0,0,0,0,0
115,"The current incentive structure is perceived to be overly generous, complex, and vulnerable to abuse, e.g. by way of transfer pricing, financial trans-fers, mischaracterisation of business activities, churning ‰Û÷new‰Ûª businesses to qualify for incentives, and the potential for corruption in the granting of incen-tives.",1,0,0,0,0.032094362,0.069048449,0.040467912,0.023306501,0.044658762,0
116,"In addition, the reliance on highly selective, uncertain and discretionary criteria to qualify for manufacturing incentives works against market efficiency and complicates tax administration.",1,0,0,0.039024819,0.044623881,0.044623881,0,0.033380734,0.031383596,0
117,"Based on the above analysis of the current situation and the challenges in the institutional environment, the following desired outcome is proposed under the NDP4:",1,0,0,0.051322978,0.057390682,0.057390682,0,0.045706827,0.043719573,0
118,"By the year 2017, Namibia is the most competitive economy in the SADC region, according to the standards set by the World Economic Forum.",1,0,0.043697479,0,0,0,0,0,0,0
119,"In respect of competitiveness and efficiency, one of the strategic initiatives to be undertaken during the NDP4 phase will be the continuous reform of the busi-ness environment.",1,0,0,0,0,0,0,0,0,0
120,"Issues to be investigated and acted upon during this phase will include the cost, time and number of procedures required to open a busi-ness, as well as the investment incentives and measures needed to increase the competitiveness of micro and small-scale enterprises.",1,0,0.029189868,0,0,0,0.096969697,0.130598175,0,0.130225975
121,Environmental management,1,0,0,0,0.169414174,0.169414174,0,0,0,0
122,"The environmental strategy during NDP4 and beyond will include: the imple-mentation and enforcement of the Environmental Management Act of 2007, particularly the use of strategic environmental assessments to guide develop-ment decision-making, the development of an integrated (including spatial) plan-ning, the implementation of the CBNRM programme; improving and implemen-tation policy and legislative frameworks, increase public access to environmental information; strengthen inter-ministerial, nongovernmental, donor coordination and harmonization, adopt Public-Private-Community-Partnerships and; develop new initiatives such as Natural Resources and Environmental Governance Pro-gram.",1,0,0,0.097147646,0.027535637,0.118232998,0.107494026,0.376144747,0.115510347,0.064988571
123,Access to finance,1,0,0,0,0,0,0,0.181818182,0.358974359,0
124,"Regarding access to finance, especially for start-ups, the overall strategy will be to support the implementation of the NFSS.",1,0,0,0.098606308,0,0,0.05739377,0.250873098,0.232068551,0
125,"Among other things, the NFSS aims to:",1,0,0.823610332,0.516999652,0,0,0,0.159741285,0,0
126,increase the resilience of the Namibian financial system to various types of shocks.,1,0,0,0,0,0,0,0.128774641,0.046153846,0
127,"deepen the financial sector by introducing new instruments, including risk capital.",1,0,0.047085579,0,0,0.063613829,0,0,0.102564103,0
128,increase access to finance for small- and medium-scale enterprises (SMEs) and the general public.,1,0,0,0,0,0,0,0.048484848,0.092307692,0.061836335
129,significantly enhance consumer financial literacy.,1,0,0,0,0,0,0,0,0.112820513,0
130,Access to land,1,0,0.180952381,0,0,0,0,0.181818182,0.358974359,0.196078431
131,"Regarding access to land for business, the strategy will be to speed up the re-view of outdated legislation pertaining to land delivery and registration so that the procedures will allow for speedy acquisition and ownership of land for busi-ness and housing development.",1,0.048469369,0.138222769,0.03280511,0,0.036198467,0,0.221463811,0.103819742,0.131092437
132,"Moreover, Government will expedite its Land Reform Programme to enable more previously disadvantaged Namibians to own land in commercial areas, and for communal land rights to be used as collateral for business transactions.",1,0,0.09124424,0,0,0.038090187,0,0.171653706,0.051147332,0.091081594
133,Availability of skills,1,0,0,0,0,0,0,0,0,0
134,"Regarding the skills deficit, the short-term strategy will be to identify the critical skills needed for industries to operate at a higher output potential.",1,0,0,0,0,0,0,0.145590905,0,0
135,"If not availa-ble in the domestic market, these skills will be imported.",1,0,0,0,0,0,0,0,0,0
136,"Such importation will be streamlined and facilitated, in collaboration with the ongoing initiatives by the Namibia Chamber of Commerce and Industry, the Chamber of Mines, the Namibia Investment Centre, and the Ministry of Home Affairs and Immigration.",1,0,0.087374259,0,0.039761056,0.081245854,0,0.032392894,0,0
137,"In the longer term, and starting under the NDP4, skills-building will be enhanced and prioritised.",1,0,0,0,0,0,0,0,0,0
138,Further skills development in the public and private sectors will be addressed through the provision of capacity-building initiatives and on-the-job as well as other training.,1,0,0,0,0,0.049684171,0,0.083326832,0,0
139,"In this regard, the recently established Namibia Training Authority (NTA) will play a lead role and will table proposals and actions in the first year of the NDP4‰Ûªs implementation.",1,0,0.265330847,0.040157887,0,0.04805492,0.05037551,0.032068386,0.030042087,0
140,R&D and innovation,1,0,0,0,0,0,0,0,0,0
141,"As a nation, we are obliged to be forward-looking.",1,0,0.514285714,0,0,0,0,0,0,0
142,"Therefore, the NDP4 will have a strong R&D and innovation component.",1,0,0,0,0,0.079624452,0,0,0,0
143,Companies will be encouraged to adapt new technologies and invest in R&D.,1,0,0,0,0,0.072146783,0.08569409,0.067425219,0.06520241,0.081913468
144,"Current R&D efforts will be analysed, and platforms will be established for cooperation between the public and pri-vate sectors as well as with tertiary education institutions.",1,0,0,0,0,0,0,0.036890646,0.030488587,0
145,"The broader strategy will be to elevate innovation to a national level, with representation at all stages of the innovation process.",1,0,0.082019443,0,0,0,0,0.229664641,0.080330542,0
146,Labour flexibility,1,0,0,0,0,0,0,0,0,0
147,"Regarding the labour market, the overarching strategy under the NDP4 will be to introduce more flexibility while protecting the rights of workers.",1,0.067663796,0.089758097,0,0,0.053529409,0,0.224010701,0.081543461,0
148,"Temporary ex-emption from compliance with certain sections of the Labour Act, 2007, will be considered in the interests of rapid job creation.",1,0,0.033480957,0.040031579,0,0,0.057142857,0.03389042,0,0.053221289
149,"The details will be worked out collaboratively between the Ministry of Labour and Social Welfare, the various labour unions, and the Employers‰Ûª Federation, before the end of the first year of the NDP4 cycle.",1,0.056736723,0.343229002,0.160323117,0.08940735,0.042184038,0.055072464,0.139491962,0.100774232,0.051150895
150,Public service delivery,1,0.127232095,0.210033934,0,0,0.109804084,0,0.784935578,0.769046194,0
151,"In respect of public service delivery, the strategies and actions to be pursued will include the following:",1,0.07711036,0.164968445,0.062062188,0,0.062388684,0,0.639598729,0.397234604,0
152,"Review of the Public Service Act, 1995, to streamline disciplinary process-es",1,0,0,0,0,0.056309787,0.071794872,0.209643347,0.200528419,0.067873303
153,Introduction and enforcement of performance management across all levels agencies and functions of Government,1,0,0.082019443,0,0.052364381,0.112013504,0.124445257,0.259100459,0.163799157,0.059379464
154,"Continued focus on building and strengthening of specialised skills, partic-ularly in project management and leadership",1,0,0,0,0.052364381,0.052364381,0,0.089699975,0.039721769,0
155,"Positioning of the civil service to become an employer of choice that is able to compete head-on with the private sector for skills and talent, and",1,0,0,0,0,0.043573049,0,0.152349513,0.143234585,0
156,Review of the role of the Public Service Commission to make it easier for the State to compete with the private sector for specialist skills.,1,0,0.038095238,0,0,0.093698362,0,0.186217656,0.175076429,0
157,"An overall assessment of the public service will also need to be undertaken to determine what its optimal size should be, taking efficient and effective delivery into account.",1,0.055318302,0.066206349,0,0,0.041773293,0.05136331,0.179414888,0.232827225,0.04770586
158,"The purpose of public sector reform is to ensure effective, efficient and economically sound service delivery to the citizens of a country, and thereby contribute towards the promotion of that society‰Ûªs general welfare.",1,0.050163191,0.116059013,0.072064555,0.041710299,0.079341355,0,0.301895364,0.308347899,0
159,It is general-ly accepted that successful and sustainable economic reform cannot take place without a competent public sector.,1,0,0,0,0,0,0,0,0.07076724,0
160,Public and private sector cooperation,1,0,0,0,0,0,0,0,0,0
161,"With regard to public‰ÛÒprivate partnerships, the Government will establish an institutionalised public‰ÛÒprivate dialogue platform.",1,0,0,0,0,0,0,0.038651235,0,0
162,"Frequent meetings will be arranged through workshops, investment planning sessions, and information briefings.",1,0,0,0,0,0,0,0.138673109,0,0
163,This dialogue will enable both the public and the private sector to in-vest in various industries in the economy in order to accelerate growth and job creation.,1,0,0,0,0.041509619,0.041509619,0,0.03057669,0,0
164,"The platform will not only facilitate private sector participation, but it will also support Government‰Ûªs efforts to expand the provision of goods and ser-vices, enhance the extension of business loans, establish additional economic infrastructure, and broaden the development of skills according to capabilities, areas of expertise, and interests.",1,0,0.024924012,0.062415695,0,0.064751244,0,0.071182277,0.062275886,0
165,Incentive regime,1,0,0,0,0,0,0,0,0,0
166,"During the NDP4 phase, the current incentive regime will be reviewed in order to streamline it and effectively respond to industry development as targeted.",1,0,0,0,0.049944728,0.099628899,0,0,0,0
167,"The incentive regime will not necessarily only be tax-based, but will consider broader support measures as well, as a carrot-and-stick approach to entice in-dustries to develop in a particular direction.",1,0,0,0.083815361,0.042186138,0.042186138,0,0.069825105,0.189320007,0
168,Good governance,1,0,0,0,0,0,0,0,0,0
169,The Government is also required to be fully committed to addressing corruption at all levels.,1,0,0.196846664,0,0,0,0,0.099874791,0.196363548,0
170,"In this regard, the Anti-Corruption Commission, in liaison with ex-isting structures such as the Namibian Police, the courts, the Ombudsman, and Parliament, should forcefully deal with corruption with a view to root it out.",1,0,0,0.036397008,0,0,0,0.035151515,0.032820513,0
171,"In addition, institutions within the public and private sectors should constantly be encouraged to adhere to the principles of good corporate governance.",1,0,0,0,0,0,0,0,0,0
172,"Moreo-ver, a code of ethical conduct should be set up as regards service delivery, which emphasises adherence to the principles of good corporate governance, in-creased transparency, openness, accountability and increased participation by citizens in order to prevent and expose corrupt practices.",1,0.045552231,0.046674208,0.032850242,0.033543126,0.135549364,0,0.252208113,0.206731637,0.038384928
173,"Table 16 (page 42) shows some challenges that obtain in respect of the institu-tional environment at the beginning of the NDP4 cycle, the implications of not addressing them, and the strategy proposed to mitigate them.",1,0,0,0,0,0.044150446,0.196154989,0.202071067,0,0.182187297
174,Education,2,0,0,0,0,0,0,0.515151515,0,0
175,"Since independence in 1990, Namibia has invested significantly in the education sector.",2,0,0,0,0,0,0,0.115151515,0,0
176,"Education has, in fact, received the lion‰Ûªs share of the National Budget almost every year.",2,0,0.10149568,0.055636792,0,0,0,0.153779772,0,0
177,"Despite this, there is broad consensus in Namibia that the education system remains weak by international standards, and requires signifi-cant intervention as a primary priority for the future of the country.",2,0,0.031527094,0.037654827,0.043557169,0.043557169,0,0.149718925,0.029039522,0
178,"This view is supported by many businesses and industries (>>) as well as a number of top politicians and Government officials, including the President, the Prime Minister and the Minister of Education (>>).",2,0,0,0,0,0,0.051851852,0.062873189,0,0.047930283
179,"The problems associated with the education system are extensive, and range from a lack of quality to a lack of infrastructure and information and communica-tion technology (ICT).",2,0,0,0,0,0.039508953,0,0.156766901,0.062678063,0
180,"While some advances have been seen over the past 21 years, these have been limited.",2,0,0.457142857,0.10442742,0,0,0,0,0,0
181,"Many regard them as inadequate, in that they have not given the system the reform it has sought.",2,0,0,0,0,0,0,0.229954716,0,0
